"1068","Fidelview","0182 Yost Manors
North Tressiestad, ID 77320-","2.8","12",
"1341","Shanastad","693 Kilback Stravenue Apt. 195
Crooksmouth, C","2.5","11",
"1382","Weberland","308 Schmidt Walks
New Fannymouth, NJ 73816-55","3.1","18",
"2415","Westborough","079 Fannie Port Apt. 501
Runolfsdottirshire, ","2.2","5",
"2635","Port Rodolfoport","29331 Kilback Cove
Davidview, AK 51669-8353","1.9","18",
"3228","Janiyafort","468 Cassin Underpass Suite 431
Stiedemanntown","1.4","15",
"3358","North Annettahaven","2796 Bergstrom Flat
West Irma, AL 00051-1036","5","17",
"4108","Ornside","8647 Chance Plaza
North Julius, VA 21997","3.3","18",
"5274","New June","8249 Streich Course
East Clarissa, CT 36018-5","3","10",
"5591","North Van","643 Hanna Course
Annaborough, AZ 86619","1.6","17",
"5827","Judestad","69229 Daniella Center Suite 449
South Linwood","2.7","16",
"5884","New Lewis","5420 Schroeder Lakes
Rahsaanville, TN 47695-1","3.6","13",
"7017","Lake Carrieport","36814 Cortez Cliffs Apt. 623
West Danikaville","1.4","15",
"7653","North Sylvesterland","71441 Friesen Ports Suite 344
Lake Theresiamo","4.9","15",
"7951","Torphytown","14008 Robb Spring Suite 558
Schmidtland, FL 4","4.9","16",
"8281","South Gladys","290 Ryleigh Burgs Apt. 590
Lake Ednafurt, DC ","3.5","14",
"8643","Ursulatown","00414 Idell Vista Suite 676
Lake Rossstad, NJ","3.5","16",
"8681","North Kieraville","02897 Simeon Skyway
Deebury, TX 82032-0704","3.7","12",
"9521","Adelehaven","65727 Hazle Burgs
West Jerryview, MN 36499","1.9","11",
"9587","Abelshire","999 Wehner Rapids Suite 660
Melanymouth, OK 0","3.1","9",
